district,date,total_demand,growth_rate
Harda *,2025-06-30,12,11.0
Kishanganj,2025-05-31,1134,10.8125
Kishanganj,2025-08-31,2799,10.810126582278482
Lalitpur,2025-10-31,673,10.807017543859649
West Siang,2025-10-31,35,10.666666666666666
Una,2025-08-31,140,10.666666666666666
North,2025-03-31,35,10.666666666666666
Washim,2025-06-30,578,10.333333333333334
Chumukedima,2025-02-28,34,10.333333333333334
Baloda Bazar,2025-08-31,1471,10.315384615384616
North East,2025-02-28,201,10.166666666666666
Thoubal,2025-08-31,1089,10.0
Dhalai  *,2025-08-31,11,10.0
Wardha,2025-06-30,649,10.0
Lower Subansiri,2025-03-31,33,10.0
Didwana-Kuchaman,2025-09-30,11,10.0
Ri Bhoi,2025-03-31,76,9.857142857142858
Kondagaon,2025-11-30,466,9.837209302325581
Cooch Behar,2025-04-30,1330,9.64
Kaithal,2025-08-31,238,9.347826086956522
Bid,2025-06-30,193,9.157894736842104
Ukhrul,2025-06-30,373,9.08108108108108
Garhwa,2025-02-28,410,9.0
Nandurbar *,2025-08-31,10,9.0
Longding,2025-10-31,10,9.0
Upper Siang,2025-02-28,20,9.0
Moradabad,2025-06-30,1566,8.849056603773585
Kolasib,2025-06-30,49,8.8
Narayanpet,2025-04-30,166,8.764705882352942
West Karbi Anglong,2025-11-30,39,8.75
Doda,2025-08-31,78,8.75
West Karbi Anglong,2025-05-31,19,8.5
Chirang,2025-08-31,275,8.482758620689655
Mewat,2025-08-31,312,8.454545454545455
Chandrapur,2025-10-31,2231,8.413502109704641
Kakching,2025-08-31,47,8.4
Imphal West,2025-06-30,1957,8.363636363636363
Jagitial,2025-08-31,196,8.333333333333334
Sepahijala,2025-12-31,119,8.153846153846153
Bastar,2025-10-31,974,8.018518518518519
Bagalkot *,2025-12-31,27,8.0
Mammit,2025-06-30,9,8.0
Majuli,2025-10-31,9,8.0
Manendragarh–Chirmiri–Bharatpur,2025-11-30,72,8.0
Sabar Kantha,2025-06-30,9,8.0
Lower Dibang Valley,2025-10-31,9,8.0
Palamau,2025-12-31,36,8.0
Uttarkashi,2025-08-31,153,8.0
Panchkula,2025-08-31,189,8.0
Ganderbal,2025-08-31,36,8.0
Purba Champaran,2025-02-28,9,8.0
Gadag *,2025-08-31,9,8.0
Longleng,2025-09-30,9,8.0
Fatehabad,2025-03-31,305,7.970588235294118
Satara,2025-06-30,1148,7.96875
Hardwar,2025-12-31,35,7.75
Panipat,2025-10-31,218,7.720000000000001
Jharsuguda,2025-06-30,156,7.666666666666666
Chengalpattu,2025-10-31,146,7.588235294117647
Pashchimi Singhbhum,2025-02-28,77,7.555555555555555
North East Delhi,2025-03-31,677,7.4625
Hapur,2025-04-30,310,7.378378378378379
Barnala,2025-10-31,158,7.315789473684211
Hingoli,2025-04-30,2302,7.2805755395683445
Mewat,2025-03-31,661,7.262499999999999
Dadra and Nagar Haveli,2025-05-31,74,7.222222222222221
Latehar,2025-08-31,378,7.217391304347826
Sahibganj,2025-02-28,49,7.166666666666666
Dhenkanal,2025-06-30,242,7.066666666666666
Amethi,2025-08-31,515,7.046875
Jyotiba Phule Nagar,2025-07-31,8,7.0
NUAPADA,2025-03-31,8,7.0
Upper Siang,2025-08-31,24,7.0
Jangaon,2025-04-30,8,7.0
North Sikkim,2025-11-30,8,7.0
East Garo Hills,2025-06-30,8,7.0
Deeg ,2025-05-31,8,7.0
Sant Ravidas Nagar Bhadohi,2025-04-30,8,7.0
Monghyr,2025-08-31,8,7.0
Jayashankar Bhupalpally,2025-04-30,127,6.9375
Bageshwar,2025-12-31,79,6.9
Chandel,2025-10-31,79,6.9
Saharanpur,2025-12-31,2194,6.892086330935252
Ahmed Nagar,2025-10-31,102,6.846153846153846
Pashchimi Singhbhum,2025-12-31,218,6.785714285714286
Sangli,2025-10-31,1427,6.755434782608695
Beed,2025-06-30,2421,6.73482428115016
Katni,2025-04-30,347,6.711111111111111
Bengaluru South,2025-08-31,46,6.666666666666667
Sindhudurg,2025-10-31,421,6.654545454545454
Arvalli,2025-08-31,99,6.615384615384615
Jalaun,2025-04-30,676,6.595505617977528
Bid,2025-12-31,256,6.529411764705882
Mamit,2025-03-31,15,6.5
Mamit,2025-10-31,15,6.5
Lower Subansiri,2025-08-31,15,6.5
Bajali,2025-08-31,15,6.5
Shimoga,2025-08-31,157,6.476190476190476
Varanasi,2025-12-31,2317,6.45016077170418
Zunheboto,2025-06-30,89,6.416666666666667
Kawardha,2025-10-31,732,6.393939393939394
Buldana,2025-10-31,436,6.389830508474576
Chittaurgarh,2025-03-31,59,6.375
Mulugu,2025-08-31,110,6.333333333333333
Jalgaon,2025-10-31,2372,6.298461538461538
Buldhana,2025-06-30,1415,6.293814432989691
Kathua,2025-08-31,182,6.28
Davanagere,2025-08-31,29,6.25
Malerkotla,2025-06-30,116,6.25
Ri Bhoi,2025-08-31,50,6.142857142857143
Jalna,2025-10-31,992,6.136690647482014
Uttar Bastar Kanker,2025-06-30,192,6.111111111111111
Dharashiv,2025-10-31,64,6.111111111111111
Mungeli,2025-03-31,533,6.1066666666666665
Solapur,2025-06-30,5103,6.0875
Baudh,2025-06-30,14,6.0
Champawat,2025-04-30,133,6.0
Gondia,2025-06-30,14,6.0
Pashchim Champaran,2025-08-31,21,6.0
Kinnaur,2025-04-30,7,6.0
Nicobar,2025-08-31,14,6.0
Garhwa *,2025-04-30,35,6.0
Saitual,2025-06-30,7,6.0
Balotra,2025-02-28,7,6.0
Serchhip,2025-03-31,7,6.0
Changlang,2025-05-31,84,6.0
Kodarma,2025-03-31,70,6.0
Karim Nagar,2025-07-31,7,6.0
Nandurbar *,2025-03-31,7,6.0
Monghyr,2025-06-30,7,6.0
Monghyr,2025-02-28,7,6.0
Raigarh(MH),2025-10-31,21,6.0
Lalitpur,2025-06-30,670,5.979166666666667
Jangoan,2025-04-30,167,5.958333333333333
Pulwama,2025-08-31,146,5.9523809523809526
Kondagaon,2025-08-31,263,5.921052631578948
Lalitpur,2025-04-30,699,5.920792079207921
Amravati,2025-06-30,1394,5.900990099009901
Nanded,2025-06-30,4002,5.888123924268503
Chamoli,2025-12-31,179,5.884615384615385
Mandla,2025-06-30,282,5.878048780487805
Gomati,2025-06-30,158,5.869565217391305
Rajgarh,2025-06-30,261,5.868421052631579
Hingoli,2025-12-31,3575,5.861804222648752
Latur,2025-06-30,2079,5.861386138613861
Sultanpur,2025-08-31,988,5.861111111111111
The Dangs,2025-12-31,41,5.833333333333333
Jhansi,2025-12-31,1689,5.756
yadgir,2025-11-30,27,5.75
Mahabubabad,2025-08-31,378,5.75
Balangir,2025-08-31,486,5.75
Kasganj,2025-06-30,486,5.75
Gajapati,2025-06-30,209,5.741935483870968
Haridwar,2025-12-31,907,5.718518518518518
Kolkata,2025-06-30,1755,5.698473282442748
Koch Bihar,2025-06-30,1286,5.697916666666667
Haveri,2025-08-31,368,5.6909090909090905
Sindhudurg,2025-06-30,334,5.68
Firozabad,2025-12-31,2539,5.664041994750656
North East,2025-12-31,118,5.555555555555555
Warangal Urban,2025-04-30,118,5.555555555555555
Washim,2025-12-31,707,5.546296296296297
Boudh,2025-08-31,72,5.545454545454546
Kandhamal,2025-06-30,216,5.545454545454546
Bid,2025-08-31,183,5.535714285714286
Yadadri.,2025-11-30,294,5.533333333333333
Washim *,2025-03-31,26,5.5
West Sikkim,2025-12-31,13,5.5
Khunti,2025-10-31,65,5.5
North Sikkim,2025-06-30,13,5.5
Hardwar,2025-08-31,26,5.5
Sahibganj,2025-06-30,58,5.444444444444445
Gondiya *,2025-07-31,32,5.4
Dohad,2025-08-31,96,5.4
South West Khasi Hills,2025-06-30,51,5.375
Mau,2025-04-30,853,5.365671641791045
Aligarh,2025-08-31,1680,5.363636363636363
Sant Ravidas Nagar,2025-06-30,583,5.336956521739131
Gondiya *,2025-12-31,38,5.333333333333333
Azamgarh,2025-08-31,1335,5.327014218009479
Farrukhabad,2025-12-31,1358,5.287037037037037
Hanumangarh,2025-10-31,446,5.28169014084507
Sitapur,2025-12-31,2504,5.275689223057644
Howrah,2025-06-30,2051,5.253048780487805
South,2025-09-30,50,5.25
Mamit,2025-06-30,25,5.25
Jalore,2025-12-31,25,5.25
Gondia,2025-12-31,25,5.25
Lucknow,2025-12-31,2870,5.225596529284165
Ratlam,2025-08-31,454,5.219178082191781
Hazaribagh,2025-08-31,493,5.1625
Meerut,2025-06-30,2089,5.144117647058824
Ramgarh,2025-10-31,319,5.134615384615385
Sangli,2025-03-31,1777,5.106529209621993
Birbhum,2025-04-30,1549,5.0984251968503935
Howrah,2025-04-30,1301,5.023148148148148
Reasi,2025-11-30,96,5.0
Lower Siang,2025-05-31,6,5.0
North And Middle Andaman,2025-07-31,6,5.0
Noklak,2025-07-31,6,5.0
Aurangabad(bh),2025-12-31,6,5.0
North,2025-10-31,18,5.0
Garhwal,2025-11-30,6,5.0
Khawzawl,2025-06-30,6,5.0
North Garo Hills,2025-10-31,42,5.0
Haora,2025-06-30,672,5.0
Pandhurna,2025-10-31,18,5.0
Sonipat,2025-10-31,233,4.9743589743589745
Bandipore,2025-08-31,89,4.933333333333334
Buldhana,2025-10-31,1329,4.906666666666666
Unnao,2025-12-31,2427,4.890776699029126
Theni,2025-06-30,312,4.886792452830188
Badgam,2025-10-31,88,4.866666666666666
Faridabad,2025-11-30,855,4.8561643835616435
Bellary,2025-08-31,240,4.853658536585366
Imphal East,2025-05-31,379,4.8307692307692305
Bareilly,2025-04-30,2559,4.802721088435374
Sheohar,2025-08-31,596,4.786407766990291
North Tripura,2025-08-31,179,4.774193548387097
Sant Ravidas Nagar,2025-12-31,623,4.768518518518518
Bardhaman,2025-08-31,412,4.722222222222222
Nabarangapur,2025-08-31,286,4.72
Prayagraj,2025-12-31,438,4.688311688311688
Kurukshetra,2025-11-30,91,4.6875
Morbi,2025-11-30,199,4.685714285714286
Nainital,2025-08-31,420,4.675675675675675
East Singhbhum,2025-08-31,420,4.675675675675675
Kra Daadi,2025-09-30,17,4.666666666666667
Tamenglong,2025-03-31,51,4.666666666666667
Kasganj,2025-04-30,544,4.666666666666667
Rajanna Sircilla,2025-08-31,130,4.6521739130434785
Panipat,2025-08-31,502,4.640449438202247
Harda,2025-08-31,45,4.625
Udhampur,2025-08-31,90,4.625
Mainpuri,2025-12-31,971,4.61271676300578
Koderma,2025-10-31,173,4.580645161290323
Vikarabad,2025-08-31,650,4.555555555555555
Angul,2025-08-31,211,4.552631578947368
Buldana,2025-06-30,360,4.538461538461538
Bahraich,2025-08-31,1110,4.522388059701493
Banda,2025-08-31,424,4.5064935064935066
Khunti,2025-08-31,209,4.5
Daman,2025-02-28,44,4.5
Kalimpong,2025-12-31,33,4.5
Surendranagar,2025-12-31,11,4.5
South West Khasi Hills,2025-09-30,22,4.5
Balotra,2025-12-31,11,4.5
East Garo Hills,2025-12-31,11,4.5
Longding,2025-03-31,11,4.5
Marigaon,2025-08-31,434,4.493670886075949
Ahmadnagar,2025-10-31,2880,4.485714285714286
North Delhi,2025-04-30,285,4.480769230769231
Warangal Rural,2025-04-30,186,4.470588235294118
Lakhisarai,2025-12-31,607,4.468468468468468
Buxar,2025-08-31,1076,4.461928934010152
Mirzapur,2025-12-31,1228,4.433628318584071
Shahjahanpur,2025-04-30,1521,4.432142857142857
North Dinajpur,2025-04-30,38,4.428571428571429
Purnea,2025-08-31,65,4.416666666666667
Faridkot,2025-05-31,81,4.4
Pakaur,2025-05-31,27,4.4
Bandipore,2025-11-30,124,4.391304347826087
Bathinda,2025-08-31,312,4.379310344827586
Karur,2025-08-31,258,4.375
Ranchi,2025-08-31,687,4.3671875
Dhanbad,2025-08-31,850,4.345911949685535
Bundi,2025-12-31,587,4.336363636363636
Anugul,2025-10-31,32,4.333333333333333
Alipurduar,2025-06-30,96,4.333333333333333
Gaurela-pendra-marwahi,2025-07-31,16,4.333333333333333
Siang,2025-03-31,16,4.333333333333333
Allahabad,2025-04-30,1720,4.325077399380805
Nanded,2025-10-31,2523,4.300420168067227
Gariyaband,2025-10-31,143,4.296296296296297
Purulia,2025-08-31,143,4.296296296296297
Nashik,2025-06-30,3562,4.28486646884273
Purulia,2025-10-31,100,4.2631578947368425
Bhadradri Kothagudem,2025-04-30,205,4.256410256410256
Viluppuram,2025-04-30,714,4.25
Sheohar,2025-11-30,446,4.247058823529412
Dhule,2025-10-31,852,4.226993865030675
Lawngtlai,2025-04-30,47,4.222222222222222
Panna,2025-10-31,287,4.218181818181818
Dr. B. R. Ambedkar Konaseema,2025-11-30,151,4.206896551724138
Gadchiroli,2025-08-31,1012,4.18974358974359
Munger,2025-08-31,882,4.188235294117647
Washim *,2025-12-31,31,4.166666666666667
Dhubri,2025-08-31,1000,4.154639175257732
Osmanabad,2025-06-30,1290,4.139442231075697
Satara,2025-10-31,1328,4.127413127413128
Thiruvallur,2025-04-30,41,4.125
South Salmara Mankachar,2025-08-31,343,4.119402985074627
Mauganj,2025-10-31,51,4.1
Harda,2025-11-30,107,4.095238095238095
Kalimpong,2025-06-30,56,4.090909090909091
Pithoragarh,2025-06-30,183,4.083333333333333
Sambhal,2025-06-30,1308,4.069767441860465
Aligarh,2025-06-30,1682,4.051051051051051
Shahdara,2025-03-31,126,4.04
Godda,2025-08-31,488,4.030927835051546
Nagarkurnool,2025-08-31,311,4.016129032258065
Yamunanagar,2025-11-30,10,4.0
Anjaw,2025-10-31,10,4.0
Bengaluru Rural,2025-03-31,5,4.0
Dima Hasao,2025-06-30,5,4.0
Namchi,2025-12-31,5,4.0
hooghly,2025-10-31,5,4.0
Mammit,2025-08-31,5,4.0
Lahul and Spiti,2025-11-30,5,4.0
Yanam,2025-12-31,5,4.0
Panch Mahals,2025-03-31,5,4.0
Lahul & Spiti,2025-11-30,10,4.0
Pandhurna,2025-06-30,10,4.0
Yavatmal,2025-06-30,2104,3.9857819905213274
Sukma,2025-10-31,274,3.9818181818181815
Bathinda,2025-06-30,506,3.9607843137254903
Rajgarh,2025-08-31,198,3.95
Shahdol,2025-06-30,495,3.95
Jalaun,2025-12-31,1350,3.9270072992700733
Bhandara,2025-10-31,601,3.9262295081967213
Sepahijala,2025-06-30,187,3.921052631578948
Hoshiarpur,2025-06-30,364,3.9189189189189193
Bahraich,2025-04-30,1458,3.909090909090909
North Cachar Hills,2025-04-30,49,3.9000000000000004
Bagalkot,2025-08-31,287,3.8644067796610173
Imphal East,2025-02-28,1081,3.8475336322869955
Ganderbal,2025-05-31,63,3.846153846153846
Munger,2025-11-30,619,3.8359375
Bardhaman,2025-06-30,437,3.802197802197802
Tuensang,2025-08-31,48,3.8
Bongaigaon,2025-08-31,350,3.794520547945205
Kheri,2025-04-30,1711,3.7927170868347337
Villupuram,2025-04-30,803,3.779761904761905
Gomati,2025-10-31,43,3.7777777777777777
Tuensang,2025-04-30,43,3.7777777777777777
Pashchim Champaran,2025-10-31,19,3.75
Saiha,2025-07-31,19,3.75
Thoubal,2025-03-31,1534,3.7492260061919502
Rampur,2025-03-31,398,3.738095238095238
West Delhi,2025-05-31,1281,3.709558823529412
Amroha,2025-08-31,711,3.708609271523179
Devbhumi Dwarka,2025-08-31,80,3.7058823529411766
South 24 Parganas,2025-08-31,4646,3.6929292929292927
Surajpur,2025-08-31,436,3.688172043010753
Fazilka,2025-10-31,103,3.6818181818181817
Mulugu,2025-04-30,103,3.6818181818181817
Jalaun,2025-06-30,1065,3.671052631578948
Kurung Kumey,2025-06-30,14,3.666666666666667
Biswanath,2025-12-31,126,3.666666666666667
Goalpara,2025-08-31,440,3.6315789473684212
Begusarai,2025-08-31,1254,3.6273062730627306
Akola,2025-10-31,652,3.624113475177305
South Sikkim,2025-09-30,23,3.5999999999999996
Nagpur,2025-06-30,1595,3.583333333333333
Dharwad,2025-08-31,417,3.582417582417582
Amethi,2025-04-30,667,3.5684931506849313
Thoubal,2025-10-31,1561,3.564327485380117
Umaria,2025-06-30,82,3.5555555555555554
Sonapur,2025-08-31,100,3.545454545454546
Auraiya,2025-08-31,436,3.541666666666667
Botad,2025-09-30,59,3.5384615384615383
Fatehpur,2025-06-30,1397,3.5357142857142856
Akola,2025-06-30,888,3.5306122448979593
Bageshwar,2025-08-31,77,3.5294117647058822
Datia,2025-08-31,348,3.5194805194805197
Tamenglong,2025-06-30,140,3.516129032258065
Rohtas,2025-12-31,919,3.5049019607843137
Gonda,2025-12-31,1847,3.504878048780488
Panch Mahals,2025-10-31,9,3.5
Banas Kantha,2025-08-31,9,3.5
Tirap,2025-08-31,9,3.5
Gondia,2025-03-31,9,3.5
Nandurbar *,2025-06-30,18,3.5
Beawar,2025-10-31,9,3.5
Lohit,2025-08-31,27,3.5
Diu,2025-04-30,27,3.5
Didwana-Kuchaman,2025-04-30,9,3.5
K.v. Rangareddy,2025-04-30,1923,3.4825174825174825
Balrampur,2025-08-31,1134,3.4822134387351777
Baleswar,2025-08-31,376,3.4761904761904763
Ganjam,2025-06-30,886,3.474747474747475
Debagarh,2025-06-30,85,3.473684210526316
South Tripura,2025-08-31,156,3.4571428571428573
Baghpat,2025-04-30,490,3.454545454545454
Jalna,2025-12-31,875,3.441624365482234
Warangal Urban,2025-06-30,142,3.4375
Maldah,2025-06-30,319,3.4305555555555554
East Khasi Hills,2025-08-31,84,3.421052631578948
Tonk,2025-04-30,243,3.418181818181818
Warangal Rural,2025-08-31,207,3.4042553191489358
East Kameng,2025-06-30,44,3.4000000000000004
Jangaon,2025-02-28,22,3.4000000000000004
Ambedkar Nagar,2025-08-31,396,3.4000000000000004
Sirsa,2025-12-31,377,3.383720930232558
Solapur,2025-10-31,3484,3.382389937106918
Beed,2025-10-31,2213,3.3821782178217825
North Garo Hills,2025-08-31,35,3.375
Namsai,2025-08-31,48,3.3636363636363633
Srinagar,2025-08-31,314,3.3611111111111107
Bangalore Rural,2025-11-30,379,3.3563218390804597
Pauri Garhwal,2025-06-30,161,3.3513513513513518
Reasi,2025-06-30,130,3.333333333333333
Dakshin Bastar Dantewada,2025-05-31,65,3.333333333333333
Saiha,2025-10-31,26,3.333333333333333
Cuttack,2025-08-31,394,3.3296703296703294
Faridabad,2025-07-31,762,3.329545454545454
Narsinghpur,2025-06-30,173,3.325
Ukhrul,2025-08-31,164,3.3157894736842106
Sonbhadra,2025-12-31,1419,3.3130699088145894
Kolhapur,2025-06-30,2216,3.311284046692607
Amethi,2025-06-30,806,3.310160427807487
Perambalur,2025-08-31,224,3.3076923076923075
North Dinajpur,2025-08-31,56,3.3076923076923075
Kishanganj,2025-12-31,465,3.3055555555555554
Kendrapara,2025-06-30,452,3.3047619047619046
Lohardaga,2025-10-31,258,3.3
Rudraprayag,2025-06-30,86,3.3
Lawngtlai,2025-06-30,43,3.3
Kawardha,2025-12-31,842,3.295918367346939
Paschim Medinipur,2025-06-30,3953,3.292073832790445
Porbandar,2025-08-31,223,3.2884615384615383
Mauganj,2025-05-31,30,3.2857142857142856
Barabanki,2025-04-30,150,3.2857142857142856
Bapatla,2025-11-30,154,3.2777777777777777
Bhandara,2025-12-31,782,3.273224043715847
Rohtak,2025-05-31,298,3.257142857142857
Hanumakonda,2025-06-30,251,3.2542372881355934
Dantewada,2025-12-31,17,3.25
North Garo Hills,2025-12-31,17,3.25
Hugli,2025-06-30,17,3.25
Ranipet,2025-04-30,17,3.25
Longleng,2025-05-31,17,3.25
Purulia,2025-06-30,161,3.2368421052631575
Champhai,2025-06-30,55,3.230769230769231
Almora,2025-12-31,258,3.2295081967213113
Buldana,2025-04-30,714,3.224852071005917
Kawardha,2025-03-31,354,3.2142857142857144
Alipurduar,2025-08-31,202,3.208333333333333
Rewari,2025-08-31,180,3.1860465116279073
Dehradun,2025-12-31,953,3.1798245614035086
Debagarh,2025-03-31,125,3.166666666666667
Raisen,2025-06-30,375,3.166666666666667
Dhule,2025-12-31,1106,3.1578947368421053
Suryapet,2025-12-31,324,3.153846153846154
Budgam,2025-06-30,87,3.1428571428571432
Hasan,2025-08-31,87,3.1428571428571432
West Nimar,2025-08-31,29,3.1428571428571432
Bardhaman,2025-04-30,389,3.1382978723404253
Ratnagiri,2025-06-30,756,3.1311475409836067
East Champaran,2025-08-31,3253,3.1125158027812896
Dhar,2025-08-31,518,3.1111111111111107
Dhule,2025-06-30,768,3.1069518716577544
Cooch Behar,2025-06-30,1617,3.1040609137055837
Korba,2025-08-31,508,3.096774193548387
Karnal,2025-11-30,348,3.094117647058823
Mahabubnagar,2025-04-30,1187,3.093103448275862
Varanasi,2025-04-30,1374,3.0892857142857144
Sukma,2025-04-30,204,3.08
Amroha,2025-10-31,677,3.0783132530120483
Sahebganj,2025-08-31,566,3.071942446043166
Parbhani,2025-06-30,1445,3.070422535211268
Darjiling,2025-08-31,118,3.068965517241379
Chitrakoot,2025-04-30,500,3.0650406504065044
Sitamarhi,2025-08-31,2565,3.0649762282091917
East Siang,2025-03-31,77,3.052631578947368
Lohardaga,2025-12-31,231,3.052631578947368
West Singhbhum,2025-06-30,773,3.0471204188481673
Sheopur,2025-06-30,210,3.0384615384615383
Gorakhpur,2025-12-31,2495,3.0372168284789645
Ratnagiri,2025-10-31,880,3.036697247706422
Varanasi,2025-08-31,2295,3.0333919156414764
Jalpaiguri,2025-08-31,2225,3.0307971014492754
Hapur,2025-08-31,564,3.0285714285714285
Uttar Dinajpur,2025-08-31,2582,3.02808112324493
Kaithal,2025-11-30,193,3.020833333333333
Chandel,2025-11-30,317,3.0126582278481013
Morbi,2025-07-31,164,3.0
Yamunanagar,2025-05-31,4,3.0
Darjiling,2025-12-31,176,3.0
Medinipur,2025-11-30,4,3.0
Kushinagar *,2025-08-31,4,3.0
Ahilyanagar,2025-08-31,8,3.0
Kotputli-Behror,2025-08-31,8,3.0
Surendranagar,2025-05-31,12,3.0
Mumbai( Sub Urban ),2025-02-28,32,3.0
Jagatsinghapur,2025-06-30,112,3.0
Chittaurgarh,2025-08-31,48,3.0
Dholpur,2025-10-31,316,3.0
Panna,2025-06-30,396,3.0
West Karbi Anglong,2025-10-31,4,3.0
West Karbi Anglong,2025-08-31,16,3.0
Ramban,2025-09-30,32,3.0
Dima Hasao,2025-12-31,4,3.0
Dibang Valley,2025-12-31,4,3.0
Karaikal,2025-12-31,124,3.0
Karim Nagar,2025-12-31,24,3.0
Firozpur,2025-07-31,56,3.0
East Kameng,2025-09-30,4,3.0
Gadag *,2025-02-28,4,3.0
Pakaur,2025-09-30,16,3.0
Washim *,2025-10-31,12,3.0
Deeg,2025-11-30,4,3.0
Samstipur,2025-07-31,8,3.0
Samba,2025-11-30,56,3.0
Tawang,2025-07-31,12,3.0
Durg,2025-08-31,667,2.9940119760479043
Adilabad,2025-06-30,631,2.9936708860759493
Ujjain,2025-10-31,547,2.9927007299270074
Hingoli,2025-02-28,439,2.9909090909090907
Kheda,2025-08-31,363,2.989010989010989
Yadadri.,2025-04-30,327,2.9878048780487805
Surendra Nagar,2025-11-30,227,2.982456140350877
Jamnagar,2025-08-31,414,2.980769230769231
Kaithal,2025-03-31,195,2.979591836734694
Sepahijala,2025-09-30,159,2.975
Charkhi Dadri,2025-05-31,79,2.95
Senapati,2025-06-30,703,2.949438202247191
Seraikela-kharsawan,2025-10-31,75,2.9473684210526314
South Twenty Four Parganas,2025-08-31,659,2.946107784431138
Bhadrak,2025-06-30,457,2.939655172413793
Kota,2025-12-31,669,2.9352941176470586
Gulbarga,2025-10-31,228,2.9310344827586206
Tenkasi,2025-08-31,114,2.9310344827586206
Umaria,2025-03-31,180,2.9130434782608696
Katihar,2025-08-31,2473,2.9067930489731437
Pune,2025-06-30,4145,2.9066918001885016
Gaurela-pendra-marwahi,2025-12-31,39,2.9
Bastar,2025-06-30,265,2.8970588235294117
